                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.94754,                 0.6176,                 1.1671,                0.88693,                0.92593,                0.96377,                0.71839,                0.97687,                0.56109,                 1.1501,               0.000614,               0.000614,               0.000614
                     73,                0.95124,                0.60033,                 1.1722,                0.94744,                0.92593,                0.97617,                0.74403,                0.96829,                0.50827,                 1.1217,              0.0005942,              0.0005942,              0.0005942
                     74,                0.90111,                0.62273,                 1.1552,                0.96132,                0.92077,                0.97863,                0.69083,                 1.1269,                0.53049,                 1.2609,              0.0005744,              0.0005744,              0.0005744
                     75,                 0.8905,                0.63308,                 1.1488,                0.98332,                0.88889,                0.97685,                0.71455,                 1.0594,                0.50746,                 1.1897,              0.0005546,              0.0005546,              0.0005546
                     76,                0.89137,                0.60581,                 1.1165,                  0.931,                0.99941,                0.98368,                0.69779,                 1.1294,                0.50778,                 1.2347,              0.0005348,              0.0005348,              0.0005348
                     77,                0.91365,                0.62441,                   1.14,                0.88031,                0.88889,                0.93802,                0.67768,                 1.0689,                 0.6211,                 1.2473,               0.000515,               0.000515,               0.000515
                     78,                0.90233,                  0.592,                 1.1333,                0.85975,                0.92593,                0.93958,                0.65316,                 1.1536,                0.64797,                 1.2674,              0.0004952,              0.0004952,              0.0004952
                     79,                0.86332,                0.58979,                    1.1,                0.88971,                0.96296,                0.97411,                0.69416,                 1.0864,                0.54463,                 1.2115,              0.0004754,              0.0004754,              0.0004754
                     80,                0.90091,                0.60867,                 1.1376,                0.88495,                0.92593,                0.97382,                0.74533,                0.99372,                0.54217,                 1.1624,              0.0004556,              0.0004556,              0.0004556
                     81,                0.86799,                0.59036,                 1.1271,                0.92355,                0.89507,                0.95956,                0.72791,                0.99533,                0.58873,                 1.1873,              0.0004358,              0.0004358,              0.0004358
                     82,                0.83768,                0.57497,                 1.1076,                0.89011,                0.90025,                0.96962,                  0.724,                 0.9969,                0.56208,                 1.1679,               0.000416,               0.000416,               0.000416
                     83,                0.85318,                0.58165,                 1.1382,                0.92524,                0.91702,                0.95499,                0.72133,                 1.0459,                0.58078,                 1.2107,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.8392,                0.57048,                 1.0986,                0.89601,                0.95757,                0.97721,                0.72733,                 1.0277,                0.50974,                  1.174,              0.0003764,              0.0003764,              0.0003764
                     85,                0.83913,                0.56459,                 1.1196,                0.94124,                0.85185,                0.96527,                0.70685,                 1.0507,                0.50235,                 1.2447,              0.0003566,              0.0003566,              0.0003566
                     86,                0.82857,                0.54867,                 1.0988,                0.93471,                0.88889,                0.95421,                0.70394,                 1.0311,                0.54748,                 1.1811,              0.0003368,              0.0003368,              0.0003368
                     87,                0.82218,                0.54797,                 1.0987,                0.94796,                0.88889,                0.94857,                0.70245,                 1.0385,                0.57858,                 1.1591,               0.000317,               0.000317,               0.000317
                     88,                 0.8316,                0.57549,                 1.0939,                0.94699,                0.88889,                0.93645,                0.66934,                 1.0879,                0.62382,                 1.2437,              0.0002972,              0.0002972,              0.0002972
                     89,                0.80541,                0.56263,                 1.0866,                0.94211,                0.88889,                0.94769,                  0.691,                 1.0758,                0.59676,                 1.2027,              0.0002774,              0.0002774,              0.0002774
                     90,                0.79295,                 0.5449,                  1.083,                0.93823,                0.88889,                0.94828,                0.69684,                 1.0435,                0.58037,                 1.1815,              0.0002576,              0.0002576,              0.0002576
                     91,                0.76093,                0.52759,                 1.0352,                0.84916,                0.88889,                0.89924,                0.65522,                 1.0816,                0.61712,                 1.2321,              0.0002378,              0.0002378,              0.0002378
                     92,                0.72187,                0.46866,                 1.0231,                0.87348,                0.92593,                0.92264,                0.67331,                   1.02,                0.62142,                 1.1742,               0.000218,               0.000218,               0.000218
                     93,                0.71077,                 0.4656,                 1.0254,                 0.8875,                0.92593,                0.93641,                0.69627,                 1.0268,                0.59277,                 1.1718,              0.0001982,              0.0001982,              0.0001982
                     94,                0.68964,                0.45258,                0.99532,                0.91217,                0.92593,                0.93904,                0.70674,                 1.0032,                0.57225,                 1.1717,              0.0001784,              0.0001784,              0.0001784
                     95,                0.68809,                0.44225,                 1.0029,                0.94189,                0.92593,                0.95124,                0.71012,                 1.0535,                0.56263,                 1.2217,              0.0001586,              0.0001586,              0.0001586
                     96,                0.66171,                 0.4372,                 1.0027,                0.95993,                0.88738,                0.93761,                0.69918,                 1.0492,                 0.5826,                   1.23,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.6586,                0.45152,                0.97708,                0.92484,                0.91185,                0.94941,                0.69227,                  1.057,                0.56943,                 1.2594,               0.000119,               0.000119,               0.000119
                     98,                0.64903,                0.43029,                0.97592,                0.88713,                0.92593,                0.94921,                0.69616,                 1.0383,                0.56294,                 1.2294,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.64508,                0.42692,                0.96476,                0.88731,                0.92593,                0.94924,                0.70568,                 1.0566,                0.55978,                   1.25,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.64757,                0.42531,                0.98499,                0.91643,                0.88889,                0.95007,                0.69011,                 1.0549,                0.56252,                 1.2555,               5.96e-05,               5.96e-05,               5.96e-05
